,Unnamed0,SV,GS,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,WARx,Zone,tERA,Kx,BBx,ER,KBB,KBB,AB,PA,H,X1B,X2B,X3B,HR,R,RBI,BB,SO,Pitches,Balls,Strikes,BBy,Ky,OBP,SLG,OPS,WARy,ZSwing,ZContact,Win_Percent
14,15.0,35.0,162.0,7.27,3.2,0.89,0.294,72.3,44.5,9.5,4.04,3.98,12.2,44.9,4.21,19.0,8.4,640.0,2.27,10.6,5463.0,5988.0,1420.0,1024.0,236.0,40.0,120.0,613.0,575.0,375.0,1150.0,22254.0,7821.0,14433.0,6.3,19.2,0.31,0.384,0.694,15.3,64.8,88.1,0.4382716049382716
15,16.0,40.0,162.0,7.9,3.24,1.1,0.303,72.1,46.1,12.7,4.28,4.17,9.9,43.6,4.68,20.5,8.4,682.0,2.44,12.1,5480.0,6024.0,1378.0,925.0,274.0,34.0,145.0,655.0,624.0,412.0,1299.0,22558.0,7693.0,14865.0,6.8,21.6,0.307,0.393,0.7,12.6,68.5,86.7,0.41975308641975306
16,17.0,45.0,162.0,6.52,2.58,1.02,0.3,72.8,44.0,10.4,4.07,4.1,16.0,44.9,4.66,17.0,6.7,653.0,2.53,10.3,5467.0,6017.0,1349.0,872.0,277.0,44.0,156.0,696.0,661.0,439.0,1264.0,23100.0,8133.0,14967.0,7.3,21.0,0.305,0.399,0.704,12.1,66.0,86.7,0.5123456790123457
17,18.0,50.0,162.0,8.23,2.36,0.94,0.288,74.3,46.3,10.8,3.45,3.53,19.0,46.2,3.63,22.1,6.3,561.0,3.49,15.8,5527.0,6145.0,1351.0,862.0,295.0,17.0,177.0,683.0,654.0,488.0,1290.0,23931.0,8707.0,15224.0,7.9,21.0,0.312,0.4,0.712,24.6,66.7,87.6,0.5555555555555556
18,19.0,48.0,162.0,8.46,2.93,1.12,0.3,73.8,47.0,13.6,4.03,3.97,18.4,44.5,4.43,22.1,7.7,653.0,2.89,14.5,5567.0,6268.0,1397.0,894.0,272.0,19.0,212.0,764.0,737.0,554.0,1227.0,24523.0,9194.0,15329.0,8.8,19.6,0.323,0.421,0.744,20.7,64.4,87.8,0.5370370370370371
19,20.0,28.0,162.0,7.34,2.95,1.07,0.289,71.0,45.0,11.4,4.16,4.13,13.0,45.8,4.35,19.2,7.7,668.0,2.49,11.5,5600.0,6171.0,1405.0,936.0,277.0,46.0,146.0,694.0,661.0,475.0,1119.0,23809.0,8590.0,15219.0,7.7,18.1,0.312,0.395,0.707,11.3,63.2,89.2,0.41975308641975306
20,21.0,35.0,162.0,7.22,3.06,1.2,0.316,71.1,44.0,12.2,4.69,4.4,10.3,44.4,4.8,18.2,7.7,749.0,2.36,10.5,5529.0,6053.0,1374.0,935.0,272.0,37.0,130.0,626.0,586.0,387.0,1274.0,22644.0,7801.0,14843.0,6.4,21.0,0.303,0.382,0.684,8.8,67.7,87.3,0.3888888888888889
21,22.0,54.0,162.0,8.08,2.74,0.66,0.302,75.0,50.4,9.4,3.23,3.36,19.5,43.0,3.87,21.5,7.3,534.0,2.95,14.2,5631.0,6285.0,1462.0,1003.0,292.0,27.0,140.0,697.0,661.0,461.0,1322.0,23889.0,8560.0,15329.0,7.3,21.0,0.323,0.396,0.719,24.0,67.1,85.7,0.6049382716049383
22,23.0,41.0,162.0,8.7,3.22,1.07,0.303,71.1,46.9,13.3,4.09,3.93,9.7,43.4,4.15,22.9,8.5,655.0,2.7,14.4,5457.0,6019.0,1324.0,880.0,260.0,36.0,148.0,650.0,623.0,426.0,1327.0,23200.0,8359.0,14841.0,7.1,22.0,0.3,0.385,0.685,16.4,66.9,85.8,0.4567901234567901
23,24.0,45.0,162.0,7.89,3.02,1.11,0.298,72.8,46.3,12.5,4.16,4.14,9.1,45.1,4.25,20.6,7.9,677.0,2.61,12.7,5544.0,6131.0,1379.0,897.0,262.0,22.0,198.0,656.0,624.0,478.0,1336.0,23814.0,8769.0,15045.0,7.8,21.8,0.311,0.411,0.722,17.4,67.2,85.0,0.4691358024691358
