"","Season","Team","W","L","SV","GS","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","WAR.x","Zone.","tERA","K..x","BB..x","ER","K.BB","K.BB.","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","SO","Pitches","Balls","Strikes","BB..y","K..y","OBP","SLG","OPS","WAR.y","Z.Swing.","Z.Contact."
"78",2017,"NYM",70,92,34,162,8.62,3.72,1.38,0.319,"70.4%","44.4%","14.9%",5.01,4.59,8.7,"45.3%",4.62,"21.5%","9.3%",799,2.32,"12.2%",5510,6169,1379,841,286,28,224,735,713,529,1291,24000,8652,15348,"8.6%","20.9%",0.32,0.434,0.755,20.2,"65.8%","86.2%"
"79",2017,"NYY",91,71,36,162,9.69,3.13,1.19,0.28,"74.5%","46.2%","14.2%",3.75,3.88,23.4,"43.7%",3.99,"25.7%","8.3%",603,3.1,"17.4%",5594,6354,1463,933,266,23,241,858,821,616,1386,25306,9614,15692,"9.7%","21.8%",0.339,0.447,0.785,28.5,"66.7%","84.7%"
"80",2017,"OAK",75,87,35,162,7.56,3.16,1.32,0.294,"68.9%","44.9%","13.9%",4.67,4.57,9.6,"43.8%",4.68,"19.5%","8.1%",743,2.39,"11.4%",5464,6126,1344,790,305,15,234,739,708,565,1491,24523,9156,15367,"9.2%","24.3%",0.319,0.436,0.755,17,"68.4%","83.7%"
"81",2017,"PHI",66,96,33,162,8.18,3.29,1.38,0.304,"73.0%","42.9%","14.1%",4.57,4.56,14.3,"47.1%",4.83,"21.0%","8.5%",731,2.48,"12.5%",5535,6133,1382,885,287,36,174,690,654,494,1417,24133,8644,15489,"8.1%","23.1%",0.315,0.409,0.723,11.3,"66.9%","85.2%"
"82",2017,"PIT",75,87,36,162,7.88,3.19,1.14,0.306,"73.2%","45.2%","12.9%",4.23,4.23,16.6,"46.6%",4.63,"20.3%","8.2%",677,2.47,"12.1%",5458,6136,1331,895,249,36,151,668,635,519,1213,24090,8769,15321,"8.5%","19.8%",0.318,0.386,0.704,10.1,"66.3%","86.3%"
"83",2017,"SDP",71,91,45,162,8.34,3.49,1.42,0.299,"71.1%","47.5%","16.4%",4.7,4.68,7.9,"44.8%",4.7,"21.5%","9.0%",747,2.39,"12.5%",5356,5954,1251,804,227,31,189,604,576,460,1499,22651,7998,14653,"7.7%","25.2%",0.299,0.393,0.692,8.9,"67.0%","83.3%"
"84",2017,"SEA",78,84,39,162,7.77,3.06,1.48,0.283,"72.7%","40.3%","14.1%",4.46,4.7,9.3,"47.1%",4.72,"20.3%","8.0%",713,2.54,"12.3%",5551,6166,1436,938,281,17,200,750,714,487,1267,23881,8781,15100,"7.9%","20.5%",0.325,0.424,0.749,23.9,"65.5%","86.1%"
"85",2017,"SFG",64,98,32,162,7.65,3.07,1.13,0.308,"71.1%","42.5%","11.5%",4.5,4.22,11.4,"45.6%",4.42,"19.6%","7.9%",726,2.49,"11.7%",5551,6137,1382,936,290,28,128,639,612,467,1204,23276,8400,14876,"7.6%","19.6%",0.309,0.38,0.689,8.9,"69.3%","86.7%"
"86",2017,"STL",83,79,43,162,8.38,3.06,1.14,0.298,"73.6%","46.3%","13.5%",4.01,4.09,15.7,"46.0%",4.32,"22.0%","8.0%",647,2.74,"13.9%",5470,6219,1402,894,284,28,196,761,728,593,1348,24475,9125,15350,"9.5%","21.7%",0.334,0.426,0.76,25.8,"65.7%","85.4%"
"87",2017,"TBR",80,82,53,162,8.42,3.13,1.2,0.283,"73.0%","43.0%","12.8%",3.99,4.17,15,"43.5%",4.25,"22.2%","8.2%",640,2.69,"13.9%",5478,6147,1340,854,226,32,228,694,671,545,1538,23897,8682,15215,"8.9%","25.0%",0.317,0.422,0.739,20.4,"70.3%","81.3%"
"88",2017,"TEX",78,84,29,162,6.95,3.51,1.34,0.289,"70.9%","44.2%","13.6%",4.7,4.88,11.2,"44.0%",5.61,"17.8%","9.0%",749,1.98,"8.8%",5430,6122,1326,813,255,21,237,799,756,544,1493,24289,8966,15323,"8.9%","24.4%",0.32,0.43,0.75,11.2,"66.3%","84.1%"
"89",2017,"TOR",76,86,45,162,8.43,3.37,1.25,0.303,"71.8%","45.4%","13.3%",4.42,4.31,16.6,"43.0%",4.4,"21.7%","8.7%",720,2.5,"13.0%",5499,6154,1320,824,269,5,222,693,661,542,1327,24295,9012,15283,"8.8%","21.6%",0.312,0.412,0.724,8.9,"65.0%","86.2%"
"90",2017,"WSN",97,65,46,162,9.06,3.08,1.18,0.287,"74.4%","44.0%","12.8%",3.88,3.99,23,"46.1%",4.15,"24.0%","8.2%",624,2.94,"15.9%",5553,6214,1477,920,311,31,215,819,796,542,1327,24299,8904,15395,"8.7%","21.4%",0.332,0.449,0.782,23,"65.8%","86.0%"
"91",2018,"ARI",82,80,39,162,8.91,3.21,1.07,0.289,"75.7%","47.3%","13.7%",3.73,3.91,12,"39.9%",4.34,"23.6%","8.5%",606,2.77,"15.1%",5460,6157,1283,798,259,50,176,693,658,560,1460,23968,8632,15336,"9.1%","23.7%",0.31,0.397,0.707,18.5,"65.9%","84.9%"
"92",2018,"ATL",90,72,40,162,8.79,3.92,0.95,0.278,"74.1%","43.3%","11.2%",3.75,3.99,15.1,"41.8%",4.58,"23.1%","10.3%",607,2.24,"12.8%",5582,6251,1433,915,314,29,175,759,717,511,1290,23760,8408,15352,"8.2%","20.6%",0.324,0.417,0.742,25,"71.6%","85.3%"
"93",2018,"BAL",47,115,28,162,7.57,3.7,1.47,0.31,"70.0%","41.9%","14.4%",5.19,4.98,7.1,"43.2%",5.31,"19.0%","9.3%",825,2.04,"9.7%",5507,6034,1317,872,242,15,188,622,593,422,1412,23476,8346,15130,"7.0%","23.4%",0.298,0.391,0.689,4.8,"68.9%","84.4%"
"94",2018,"BOS",108,54,46,162,9.61,3.16,1.09,0.294,"75.8%","42.4%","11.9%",3.75,3.82,18.5,"42.7%",4.19,"25.3%","8.3%",608,3.04,"17.0%",5623,6302,1509,915,355,31,208,876,829,569,1253,24653,9201,15452,"9.0%","19.9%",0.339,0.453,0.792,32.3,"67.8%","87.2%"
"95",2018,"CHC",95,68,46,163,8.13,3.79,0.96,0.284,"76.2%","45.0%","11.5%",3.65,4.14,14.1,"42.6%",4.58,"21.3%","9.9%",598,2.14,"11.4%",5624,6369,1453,966,286,34,167,761,722,576,1388,24240,8723,15517,"9.0%","21.8%",0.333,0.41,0.744,26.7,"67.6%","84.9%"
"96",2018,"CHW",62,100,34,162,7.89,4.09,1.23,0.292,"69.4%","40.8%","11.7%",4.85,4.73,9.8,"43.2%",4.84,"19.9%","10.3%",774,1.93,"9.6%",5523,6071,1332,851,259,40,182,656,639,425,1594,23715,8166,15549,"7.0%","26.3%",0.302,0.401,0.703,11.3,"68.0%","83.8%"
"97",2018,"CIN",67,95,38,162,7.86,3.32,1.42,0.3,"71.5%","44.4%","15.8%",4.65,4.68,8.7,"44.6%",5.34,"20.0%","8.5%",745,2.36,"11.6%",5532,6240,1404,956,251,25,172,696,665,559,1376,23713,8646,15067,"9.0%","22.1%",0.328,0.401,0.729,17.2,"69.1%","86.2%"
"98",2018,"CLE",91,71,41,162,9.54,2.51,1.24,0.298,"76.0%","42.5%","13.7%",3.77,3.78,22,"43.5%",4.19,"25.4%","6.7%",611,3.79,"18.7%",5595,6300,1447,915,297,19,216,818,786,554,1189,24592,9231,15361,"8.8%","18.9%",0.332,0.434,0.766,26.4,"67.3%","88.6%"
"99",2018,"COL",91,72,51,163,8.73,3.25,1.14,0.299,"71.3%","45.2%","13.5%",4.33,4.06,17.1,"43.1%",5.1,"22.9%","8.5%",699,2.68,"14.4%",5541,6178,1418,886,280,42,210,780,748,507,1397,23413,8382,15031,"8.2%","22.6%",0.322,0.435,0.757,15.8,"70.3%","84.7%"
"100",2018,"DET",64,98,37,162,7.67,3.1,1.36,0.291,"70.5%","39.6%","12.9%",4.6,4.59,10,"41.9%",5.05,"19.8%","8.0%",728,2.47,"11.8%",5494,6029,1326,872,284,35,135,630,597,428,1341,23350,8111,15239,"7.1%","22.2%",0.3,0.38,0.68,4.2,"69.1%","86.0%"
"101",2018,"HOU",103,59,46,162,10.44,2.69,0.94,0.283,"77.9%","44.0%","11.6%",3.11,3.23,28.6,"43.3%",3.31,"28.5%","7.4%",503,3.88,"21.2%",5453,6146,1390,889,278,18,205,797,763,565,1197,23643,8873,14770,"9.2%","19.5%",0.329,0.425,0.754,32.1,"65.1%","87.2%"
"102",2018,"KCR",58,104,33,162,7.27,3.45,1.29,0.309,"70.6%","43.1%","13.0%",4.95,4.66,6.7,"43.4%",5.16,"18.4%","8.7%",787,2.11,"9.7%",5505,6063,1350,883,283,29,155,638,606,427,1310,23328,8275,15053,"7.0%","21.6%",0.305,0.392,0.697,7.8,"68.9%","86.5%"
"103",2018,"LAA",80,82,35,162,8.68,3.42,1.28,0.294,"74.1%","42.1%","14.1%",4.15,4.36,12.2,"42.0%",4.76,"22.7%","8.9%",663,2.54,"13.8%",5472,6108,1323,837,249,23,214,721,690,514,1300,23751,8769,14982,"8.4%","21.3%",0.313,0.413,0.726,20.1,"65.8%","85.8%"
"104",2018,"LAD",92,71,48,163,9.54,2.57,1.09,0.284,"76.2%","44.9%","13.4%",3.4,3.6,19,"44.5%",3.77,"25.7%","6.9%",557,3.71,"18.8%",5572,6358,1394,830,296,33,235,804,756,647,1436,25643,9654,15989,"10.2%","22.6%",0.333,0.442,0.774,34.1,"64.5%","84.1%"
"105",2018,"MIA",63,98,30,161,7.8,3.78,1.2,0.29,"69.9%","40.9%","12.1%",4.76,4.57,2.4,"42.4%",4.69,"20.0%","9.7%",763,2.06,"10.3%",5488,6083,1303,929,222,24,128,589,554,455,1384,23549,8303,15246,"7.5%","22.8%",0.303,0.357,0.659,10.6,"65.1%","86.0%"
"106",2018,"MIL",96,67,49,163,8.8,3.41,1.07,0.279,"74.4%","43.2%","12.5%",3.73,4.01,14.5,"42.7%",4.45,"23.4%","9.0%",606,2.58,"14.3%",5542,6210,1398,904,252,24,218,754,711,537,1458,24233,8694,15539,"8.6%","23.5%",0.323,0.424,0.747,28.4,"65.6%","84.9%"
"107",2018,"MIN",78,84,37,162,8.59,3.57,1.23,0.302,"72.4%","41.6%","13.2%",4.5,4.39,11.4,"41.0%",4.89,"21.9%","9.1%",722,2.4,"12.8%",5526,6154,1379,874,317,22,166,738,704,534,1328,24509,8979,15530,"8.7%","21.6%",0.318,0.405,0.723,16.7,"65.7%","87.2%"
"108",2018,"NYM",77,85,41,162,8.91,2.98,1.14,0.295,"73.0%","42.1%","12.2%",4.07,3.97,17.9,"44.7%",4,"23.4%","7.8%",661,2.99,"15.6%",5468,6177,1282,813,265,34,170,676,649,566,1404,24156,8739,15417,"9.2%","22.7%",0.312,0.389,0.701,16.4,"67.5%","84.7%"
"109",2018,"NYY",100,62,49,162,10.1,3.05,1.09,0.3,"73.9%","42.9%","12.9%",3.78,3.63,24.5,"41.6%",3.99,"26.6%","8.0%",611,3.31,"18.6%",5515,6271,1374,815,269,23,267,851,821,625,1421,25145,9582,15563,"10.0%","22.7%",0.329,0.451,0.781,29.9,"66.3%","85.2%"
"110",2018,"OAK",97,65,44,162,7.6,2.91,1.13,0.27,"73.5%","43.6%","12.2%",3.82,4.18,13.5,"43.0%",4.35,"20.3%","7.8%",622,2.61,"12.5%",5579,6255,1407,838,322,20,227,813,778,550,1381,24930,9281,15649,"8.8%","22.1%",0.325,0.439,0.764,30.3,"68.7%","85.2%"
"111",2018,"PHI",80,82,44,162,9.12,3.11,1.06,0.303,"71.0%","45.4%","12.4%",4.15,3.83,19.7,"44.8%",4.07,"23.9%","8.1%",666,2.93,"15.7%",5424,6136,1270,813,241,30,186,677,653,582,1520,24615,8956,15659,"9.5%","24.8%",0.314,0.393,0.707,13.3,"66.0%","84.3%"
"112",2018,"PIT",82,79,40,161,8.38,3.12,1.09,0.296,"73.6%","43.4%","12.1%",4,4.06,14.9,"44.5%",4.45,"21.7%","8.1%",638,2.69,"13.7%",5447,6066,1381,896,290,38,157,692,665,474,1229,23553,8377,15176,"7.8%","20.3%",0.317,0.407,0.725,19.2,"69.2%","86.0%"
"113",2018,"SDP",66,96,36,162,8.64,3.21,1.14,0.305,"71.1%","44.4%","13.6%",4.41,4.1,12.4,"43.9%",4.54,"22.4%","8.3%",714,2.7,"14.1%",5486,6059,1289,847,250,30,162,617,583,471,1523,23771,8358,15413,"7.8%","25.1%",0.297,0.38,0.677,9.6,"66.6%","83.6%"
"114",2018,"SEA",89,73,60,162,8.25,2.49,1.21,0.295,"72.5%","42.5%","12.7%",4.13,4.05,16.5,"43.7%",4.21,"21.9%","6.6%",664,3.32,"15.3%",5513,6087,1402,938,256,32,176,677,644,430,1221,23088,8306,14782,"7.1%","20.1%",0.314,0.408,0.722,19.1,"67.0%","88.2%"
"115",2018,"SFG",73,89,36,162,7.82,3.23,0.96,0.293,"72.3%","44.5%","11.0%",3.95,3.98,14.1,"43.4%",4.33,"20.5%","8.5%",642,2.42,"12.0%",5541,6113,1324,906,255,30,133,603,573,448,1467,23812,8411,15401,"7.3%","24.0%",0.3,0.368,0.667,6,"68.5%","84.4%"
"116",2018,"STL",88,74,43,162,8.27,3.67,0.89,0.293,"73.0%","44.6%","10.5%",3.85,3.97,14.4,"43.9%",4.33,"21.3%","9.5%",623,2.25,"11.9%",5498,6200,1369,907,248,9,205,759,725,525,1380,24262,8868,15394,"8.5%","22.3%",0.321,0.409,0.73,21.5,"65.6%","86.0%"
"117",2018,"TBR",90,72,52,162,8.83,3.11,1.02,0.278,"73.3%","43.9%","11.5%",3.75,3.82,17.4,"43.3%",3.88,"23.7%","8.4%",603,2.84,"15.4%",5475,6195,1415,948,274,43,150,716,664,540,1388,23677,8666,15011,"8.7%","22.4%",0.333,0.406,0.74,23.1,"69.0%","84.8%"
"118",2018,"TEX",67,95,42,162,7.05,3.09,1.4,0.299,"69.6%","43.0%","14.1%",4.92,4.79,10.9,"42.9%",5.76,"18.0%","7.9%",783,2.28,"10.1%",5453,6163,1308,824,266,24,194,737,696,555,1484,24519,9009,15510,"9.0%","24.1%",0.318,0.404,0.722,11.2,"64.5%","84.8%"
"119",2018,"TOR",73,89,39,162,8.15,3.46,1.31,0.306,"70.0%","42.5%","12.7%",4.85,4.53,8.5,"41.3%",4.62,"20.7%","8.8%",773,2.36,"11.9%",5477,6076,1336,783,320,16,217,709,680,499,1387,23482,8507,14975,"8.2%","22.8%",0.312,0.427,0.739,14.9,"68.3%","85.0%"
"120",2018,"WSN",82,80,40,162,8.82,3.03,1.23,0.287,"74.8%","41.2%","12.8%",4.04,4.15,16.4,"43.7%",4.47,"23.3%","8.0%",649,2.91,"15.3%",5517,6288,1402,902,284,25,191,771,737,631,1289,24645,9075,15570,"10.0%","20.5%",0.335,0.419,0.753,23.7,"67.3%","85.8%"
"121",2019,"ARI",85,77,45,162,8.77,3.17,1.35,0.295,"74.0%","43.1%","15.2%",4.25,4.4,12.9,"39.9%",4.83,"22.9%","8.3%",691,2.77,"14.6%",5633,6315,1419,871,288,40,220,813,778,540,1360,24414,8680,15734,"8.6%","21.5%",0.323,0.434,0.757,23.6,"68.3%","85.4%"
"122",2019,"ATL",97,65,44,162,8.64,3.4,1.26,0.302,"73.8%","45.2%","15.0%",4.2,4.39,12.4,"39.9%",4.91,"22.3%","8.8%",677,2.54,"13.5%",5560,6302,1432,877,277,29,249,855,824,619,1467,24951,9233,15718,"9.8%","23.3%",0.336,0.452,0.789,27.6,"71.2%","82.4%"
"123",2019,"BAL",54,108,27,162,7.78,3.5,1.9,0.295,"68.5%","40.5%","17.4%",5.67,5.56,6.9,"41.4%",5.8,"19.5%","8.8%",909,2.22,"10.7%",5596,6189,1379,889,252,25,213,729,698,462,1435,24561,8725,15836,"7.5%","23.2%",0.31,0.415,0.725,5.7,"69.3%","84.3%"
"124",2019,"BOS",84,78,33,162,9.99,3.7,1.32,0.312,"70.8%","42.6%","14.4%",4.7,4.28,16.5,"40.5%",4.65,"25.5%","9.5%",768,2.7,"16.1%",5770,6475,1554,937,345,27,245,901,857,590,1382,25427,9214,16213,"9.1%","21.3%",0.34,0.466,0.806,28,"69.6%","84.7%"
"125",2019,"CHC",84,78,38,162,9.01,3.33,1.22,0.3,"74.1%","45.9%","15.0%",4.1,4.25,16.9,"41.2%",4.7,"23.3%","8.6%",657,2.7,"14.7%",5461,6195,1378,826,270,26,256,814,783,581,1460,24026,8782,15244,"9.4%","23.6%",0.331,0.452,0.783,25.6,"68.4%","83.4%"
"126",2019,"CHW",72,89,33,161,8.36,3.71,1.52,0.302,"71.3%","43.2%","15.9%",4.91,4.89,13.2,"43.1%",5.08,"21.3%","9.4%",770,2.25,"11.9%",5529,6042,1443,981,260,20,182,708,676,378,1549,23538,8086,15452,"6.3%","25.6%",0.314,0.414,0.728,11.3,"68.7%","84.4%"
"127",2019,"CIN",75,87,46,162,9.71,3.35,1.34,0.286,"73.7%","44.3%","16.4%",4.18,4.23,19.8,"39.8%",4.78,"25.6%","8.8%",668,2.9,"16.8%",5450,6100,1328,839,235,27,227,701,679,492,1436,23703,8393,15310,"8.1%","23.5%",0.315,0.422,0.736,10.8,"70.3%","85.1%"
"128",2019,"CLE",93,69,42,162,9.44,2.82,1.3,0.291,"76.0%","39.7%","13.6%",3.79,4.06,21,"41.6%",4.34,"25.1%","7.5%",606,3.35,"17.6%",5425,6124,1354,827,286,18,223,769,731,563,1332,24072,9113,14959,"9.2%","21.8%",0.323,0.432,0.756,23.4,"69.4%","86.0%"
"129",2019,"COL",71,91,28,162,7.85,3.66,1.68,0.308,"68.5%","46.1%","19.0%",5.58,5.23,6,"42.9%",6.44,"19.7%","9.2%",898,2.15,"10.5%",5660,6288,1502,914,323,41,224,835,803,489,1503,24193,8629,15564,"7.8%","23.9%",0.326,0.456,0.782,11.8,"70.4%","84.4%"
"130",2019,"DET",47,114,31,161,8.59,3.37,1.57,0.317,"68.8%","42.7%","15.9%",5.26,4.84,10.3,"42.0%",5.06,"21.6%","8.5%",837,2.55,"13.1%",5549,6039,1333,851,292,41,149,582,556,391,1595,23506,7884,15622,"6.5%","26.4%",0.294,0.388,0.682,-2,"68.8%","83.2%"
"131",2019,"HOU",107,55,47,162,10.28,2.76,1.42,0.27,"76.8%","43.6%","16.7%",3.66,3.98,24.2,"42.5%",4.03,"27.9%","7.5%",595,3.73,"20.4%",5613,6394,1538,899,323,28,288,920,891,645,1166,24710,9349,15361,"10.1%","18.2%",0.352,0.495,0.848,42,"66.3%","88.4%"
"132",2019,"KCR",59,103,37,162,7.77,3.68,1.4,0.311,"70.2%","43.9%","14.7%",5.2,4.9,7.9,"41.8%",5.38,"19.5%","9.2%",824,2.11,"10.3%",5496,6080,1356,873,281,40,162,691,655,456,1405,23471,8389,15082,"7.5%","23.1%",0.309,0.401,0.71,6.7,"69.2%","86.2%"
"133",2019,"LAA",72,90,32,162,8.76,3.59,1.67,0.29,"70.9%","40.4%","17.0%",5.12,5.04,7.5,"42.2%",5.44,"22.3%","9.2%",820,2.44,"13.2%",5542,6251,1368,859,268,21,220,769,734,586,1276,24919,9329,15590,"9.4%","20.4%",0.324,0.422,0.746,17.1,"63.0%","86.2%"
"134",2019,"LAD",106,56,44,162,9.46,2.44,1.15,0.271,"74.7%","44.9%","14.1%",3.39,3.73,25.4,"42.8%",3.85,"25.7%","6.6%",545,3.88,"19.1%",5493,6281,1414,813,302,20,279,886,861,607,1356,24980,9389,15591,"9.7%","21.6%",0.338,0.472,0.81,34.3,"67.5%","85.2%"
"135",2019,"MIA",57,105,27,162,8.59,3.83,1.47,0.281,"72.1%","38.3%","14.2%",4.74,4.89,5.8,"41.7%",4.88,"22.1%","9.8%",760,2.24,"12.2%",5512,6045,1326,897,265,18,146,615,593,395,1469,23101,7925,15176,"6.5%","24.3%",0.298,0.375,0.673,1.9,"67.0%","85.6%"
"136",2019,"MIL",89,73,50,162,9.23,3.52,1.39,0.292,"73.1%","42.2%","15.6%",4.4,4.46,12.5,"40.4%",4.88,"23.9%","9.1%",714,2.63,"14.8%",5542,6309,1366,820,279,17,250,769,744,629,1563,25312,9400,15912,"10.0%","24.8%",0.329,0.438,0.767,23.5,"66.6%","84.1%"
"137",2019,"MIN",101,61,50,162,9,2.78,1.22,0.309,"71.8%","41.8%","13.4%",4.18,4.03,23.7,"42.0%",4.49,"23.4%","7.2%",680,3.24,"16.2%",5732,6392,1547,899,318,23,307,939,906,525,1334,24562,9035,15527,"8.2%","20.9%",0.338,0.494,0.832,31.7,"70.8%","85.8%"
"138",2019,"NYM",86,76,38,162,9.36,3.08,1.26,0.304,"73.1%","43.4%","13.9%",4.25,4.1,19.8,"43.0%",3.99,"24.4%","8.0%",690,3.04,"16.4%",5624,6290,1445,906,280,17,242,791,767,516,1384,23833,8460,15373,"8.2%","22.0%",0.328,0.442,0.77,24.6,"72.1%","84.6%"
"139",2019,"NYY",103,59,50,162,9.57,3.16,1.55,0.296,"75.2%","42.4%","16.8%",4.31,4.47,17.9,"40.8%",4.6,"25.0%","8.3%",691,3.03,"16.7%",5583,6245,1493,880,290,17,306,943,904,569,1437,25306,9396,15910,"9.1%","23.0%",0.339,0.49,0.829,30.7,"68.7%","85.0%"
"140",2019,"OAK",97,65,45,162,7.98,2.93,1.23,0.278,"75.1%","41.5%","12.6%",3.97,4.34,18.8,"43.5%",4.42,"21.1%","7.8%",646,2.72,"13.4%",5561,6269,1384,812,292,23,257,845,800,578,1338,24972,9350,15622,"9.2%","21.3%",0.327,0.448,0.776,26.4,"68.4%","84.9%"
"141",2019,"PHI",81,81,36,162,8.62,3.38,1.6,0.298,"74.7%","43.1%","17.9%",4.53,4.88,8.5,"41.3%",5.4,"22.2%","8.7%",732,2.55,"13.5%",5571,6261,1369,817,311,26,215,774,742,562,1453,24905,8983,15922,"9.0%","23.2%",0.319,0.427,0.746,17.8,"67.9%","84.5%"
"142",2019,"PIT",69,93,31,162,9.02,3.65,1.51,0.315,"68.9%","42.2%","15.7%",5.19,4.78,8.7,"42.6%",4.98,"22.6%","9.1%",830,2.47,"13.4%",5657,6228,1497,981,315,38,163,758,722,425,1213,23525,8368,15157,"6.8%","19.5%",0.321,0.42,0.741,12.8,"72.3%","86.9%"
"143",2019,"SDP",70,92,47,162,9.27,2.91,1.35,0.299,"70.0%","43.0%","14.8%",4.63,4.22,15.2,"42.2%",4.31,"23.9%","7.5%",737,3.19,"16.4%",5391,6019,1281,814,224,24,219,682,652,504,1581,23576,8498,15078,"8.4%","26.3%",0.308,0.41,0.718,10.8,"67.0%","83.8%"
"144",2019,"SEA",68,94,34,162,7.75,3.16,1.63,0.291,"68.4%","43.4%","16.4%",5,5,5.4,"42.7%",4.98,"19.8%","8.1%",799,2.45,"11.7%",5500,6199,1305,784,254,28,239,758,730,588,1581,25523,9597,15926,"9.5%","25.5%",0.316,0.424,0.74,17.4,"66.7%","82.9%"
"145",2019,"SFG",77,85,41,162,8.38,3.18,1.39,0.286,"72.6%","42.2%","15.1%",4.38,4.55,8.3,"42.1%",4.8,"21.9%","8.3%",715,2.64,"13.6%",5579,6170,1332,839,300,26,167,678,655,475,1435,23979,8408,15571,"7.7%","23.3%",0.302,0.392,0.694,8.9,"70.7%","84.4%"
"146",2019,"STL",91,71,52,162,8.72,3.4,1.19,0.283,"75.8%","44.9%","14.5%",3.82,4.27,14.9,"42.5%",4.49,"23.1%","9.0%",613,2.57,"14.1%",5449,6167,1336,856,246,24,210,764,714,561,1420,24719,8996,15723,"9.1%","23.0%",0.322,0.415,0.737,22.7,"67.4%","84.8%"
"147",2019,"TBR",96,66,46,162,9.9,2.77,1.1,0.29,"73.7%","44.1%","13.4%",3.67,3.65,24.5,"43.0%",3.69,"26.6%","7.4%",602,3.58,"19.2%",5628,6285,1427,890,291,29,217,769,730,542,1493,24922,9114,15808,"8.6%","23.8%",0.325,0.431,0.757,25.9,"69.5%","84.5%"
"148",2019,"TEX",78,84,33,162,8.63,3.65,1.51,0.312,"70.5%","41.8%","15.4%",5.09,4.84,14.2,"43.2%",5.6,"21.7%","9.2%",813,2.37,"12.5%",5540,6204,1374,831,296,24,223,810,765,534,1578,25074,9162,15912,"8.6%","25.4%",0.319,0.431,0.75,8.7,"66.0%","84.0%"
"149",2019,"TOR",67,95,33,162,8.32,3.77,1.42,0.3,"71.8%","43.1%","14.9%",4.79,4.82,8.9,"39.9%",5.02,"21.1%","9.6%",767,2.21,"11.5%",5493,6091,1299,761,270,21,247,726,697,509,1514,24052,8727,15325,"8.4%","24.9%",0.305,0.428,0.733,11.8,"67.9%","84.5%"
"150",2019,"WSN",93,69,40,162,9.45,3.23,1.26,0.296,"73.0%","42.6%","13.9%",4.28,4.14,21.7,"41.1%",4.44,"24.6%","8.4%",684,2.92,"16.2%",5512,6267,1460,904,298,27,231,873,824,584,1308,24645,9097,15548,"9.3%","20.9%",0.342,0.454,0.796,28.2,"67.3%","87.5%"
"151",2020,"ARI",25,35,13,60,9.1,4.08,1.61,0.294,"74.0%","38.4%","15.7%",4.84,5,1.1,"40.9%",5.36,"23.0%","10.3%",279,2.23,"12.7%",1997,2238,482,311,101,12,58,269,255,181,461,8668,3093,5575,"8.1%","20.6%",0.312,0.391,0.704,5.7,"68.1%","84.7%"
"152",2020,"ATL",35,25,13,60,8.69,3.78,1.18,0.294,"70.6%","43.7%","13.2%",4.46,4.42,4,"40.0%",4.83,"22.2%","9.7%",260,2.3,"12.6%",2074,2344,556,320,130,3,103,348,338,239,573,9236,3410,5826,"10.2%","24.4%",0.349,0.483,0.832,12.6,"71.7%","82.1%"
"153",2020,"BAL",25,35,11,60,8.45,3.33,1.37,0.282,"69.7%","42.6%","14.6%",4.51,4.6,6.5,"42.8%",5.08,"21.7%","8.5%",260,2.54,"13.1%",2026,2242,523,337,102,7,77,274,264,164,514,8757,3040,5717,"7.3%","22.9%",0.321,0.429,0.75,3.7,"70.7%","83.6%"
"154",2020,"BOS",24,36,14,60,9.22,4.33,1.68,0.332,"70.8%","42.9%","18.9%",5.58,5.19,0.1,"41.2%",6.08,"22.5%","10.5%",325,2.13,"11.9%",2083,2304,552,346,118,7,81,292,278,187,545,9082,3257,5825,"8.1%","23.7%",0.33,0.445,0.775,7.3,"69.2%","84.2%"
"155",2020,"CHC",34,26,16,60,9.08,3.16,1.28,0.278,"75.0%","45.0%","16.0%",3.99,4.18,6.5,"40.8%",4.6,"24.3%","8.5%",230,2.87,"15.8%",1918,2214,422,258,82,8,74,265,248,229,568,9086,3464,5622,"10.3%","25.7%",0.318,0.387,0.705,7.9,"64.1%","83.6%"
"156",2020,"CHW",35,25,13,60,8.93,3.71,1.21,0.269,"75.1%","44.2%","14.5%",3.81,4.32,6.6,"39.7%",4.79,"23.4%","9.7%",223,2.41,"13.7%",2047,2267,534,338,94,6,96,306,294,179,571,9019,3225,5794,"7.9%","25.2%",0.326,0.453,0.779,13.3,"67.1%","82.8%"
"157",2020,"CIN",31,29,9,60,10.98,3.8,1.2,0.278,"72.8%","43.2%","14.6%",3.89,3.92,10.1,"39.6%",4.32,"28.9%","10.0%",218,2.89,"18.9%",1842,2123,390,221,76,3,90,243,237,239,534,8771,3375,5396,"11.3%","25.2%",0.312,0.403,0.715,3.7,"66.4%","84.0%"
"158",2020,"CLE",35,25,20,60,10.43,2.64,1.14,0.285,"78.5%","40.5%","13.4%",3.29,3.55,11.2,"40.6%",3.9,"28.5%","7.2%",196,3.96,"21.3%",1959,2247,446,286,96,5,59,248,234,239,517,9293,3620,5673,"10.6%","23.0%",0.317,0.372,0.689,7.5,"67.3%","84.7%"
