"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2016","MIA","2460","6133","128","655","626","71","7.3%","19.8%",".131",".314",".263",".322",".394",".309","","95","2.4","-40.1","40.3","19.8"
"2015","NYM","2325","6145","177","683","654","51","7.9%","21.0%",".156",".287",".244",".312",".400",".309","","98","6.2","-6.8","48.7","24.6"
"2019","CHW","2311","6042","182","708","676","63","6.3%","25.6%",".153",".329",".261",".314",".414",".309","","92","5.3","-59.6","-42.1","11.3"
"2020","CHC","908","2214","74","265","248","24","10.3%","25.7%",".167",".270",".220",".318",".387",".309","","92","4.7","-18.2","2.3","7.9"
"2021","LAA","2325","6016","190","723","691","79","7.7%","23.2%",".162",".294",".245",".310",".407",".308","","93","6.8","-43.7","-45.4","11.6"
"2022","SDP","2323","6175","153","705","682","49","9.3%","21.5%",".141",".289",".241",".318",".382",".308","","102","3.9","17.1","-22.8","21.2"
"2020","KCR","940","2200","68","248","237","49","7.8%","24.0%",".158",".297",".244",".309",".402",".308","","90","3.1","-23.2","-0.6","7.1"
"2015","OAK","2349","6171","146","694","661","78","7.7%","18.1%",".144",".288",".251",".312",".395",".308","","95","-1.0","-34.1","-60.7","11.3"
"2019","BAL","2386","6189","213","729","698","84","7.5%","23.2%",".168",".293",".246",".310",".415",".308","","88","2.0","-91.4","-73.6","5.7"
"2020","MIA","904","2167","60","263","247","51","8.8%","24.8%",".141",".306",".244",".319",".384",".308","","93","4.0","-15.0","-19.7","2.3"
"2020","COL","888","2257","63","275","264","42","7.1%","24.1%",".148",".316",".257",".311",".405",".307","","76","10.8","-58.9","-5.9","1.8"
"2018","PHI","2474","6136","186","677","653","69","9.5%","24.8%",".158",".289",".234",".314",".393",".307","","91","2.9","-68.5","8.1","13.3"
"2016","KCR","2244","6052","147","675","640","121","6.3%","20.2%",".139",".309",".261",".312",".400",".307","","89","-4.3","-83.9","-7.3","11.8"
"2022","CHC","2388","6072","159","657","620","111","8.3%","23.8%",".148",".294",".238",".311",".387",".307","","98","-1.7","-19.1","-35.6","15.7"
"2015","CIN","2337","6196","167","640","613","134","8.0%","20.3%",".146",".290",".248",".312",".394",".307","","91","10.9","-52.1","16.1","16.5"
"2021","NYM","2419","5856","176","636","604","54","8.5%","23.8%",".152",".291",".239",".315",".391",".307","","96","-13.5","-41.7","60.5","21.6"
"2017","LAA","2392","6073","186","710","678","136","8.6%","19.7%",".155",".277",".243",".315",".397",".307","","92","1.4","-61.3","21.7","16.3"
"2020","MIL","906","2188","75","247","238","15","10.1%","26.6%",".166",".278",".223",".313",".389",".307","","90","-17.6","-46.0","-1.3","4.8"
"2020","STL","827","2011","51","240","231","18","10.2%","23.7%",".137",".290",".234",".323",".371",".306","","93","-0.7","-17.4","5.7","7.5"
"2022","CHW","2371","6123","149","686","654","58","6.3%","20.7%",".131",".304",".256",".310",".387",".306","","99","-3.0","-12.3","-36.9","15.3"
"2021","CLE","2300","5907","203","717","686","109","7.7%","23.5%",".169",".282",".238",".303",".407",".306","","93","7.4","-42.1","3.9","16.3"
"2018","ARI","2409","6157","176","693","658","79","9.1%","23.7%",".162",".286",".235",".310",".397",".306","","88","7.1","-81.0","70.8","18.5"
"2021","DET","2341","5979","179","697","675","88","8.2%","25.3%",".158",".300",".242",".308",".399",".306","","94","1.2","-41.2","-57.1","10.5"
